Date_Heure,Date,Heure,Open_Interest_BTC,Open_Interest_USDT
2025-07-12 00:00:00+00:00,2025-07-12,0,87802.017,10316848232.475773
2025-07-12 01:00:00+00:00,2025-07-12,1,88052.922,10335604478.213062
2025-07-12 02:00:00+00:00,2025-07-12,2,87862.397,10334381590.160986
2025-07-12 03:00:00+00:00,2025-07-12,3,87803.533,10322622357.145
2025-07-12 04:00:00+00:00,2025-07-12,4,87801.551,10336165406.6669
2025-07-12 05:00:00+00:00,2025-07-12,5,87912.836,10339411059.3928
2025-07-12 06:00:00+00:00,2025-07-12,6,87958.561,10347474375.327776
2025-07-12 07:00:00+00:00,2025-07-12,7,88247.991,10395082248.362411
2025-07-12 08:00:00+00:00,2025-07-12,8,88648.592,10433026197.9024
2025-07-12 09:00:00+00:00,2025-07-12,9,88739.673,10460198300.19106
2025-07-12 10:00:00+00:00,2025-07-12,10,88623.007,10468140724.5393
2025-07-12 11:00:00+00:00,2025-07-12,11,88761.807,10476800033.996494
2025-07-12 12:00:00+00:00,2025-07-12,12,88549.056,10428732246.816
2025-07-12 13:00:00+00:00,2025-07-12,13,88315.085,10377174412.804655
2025-07-12 14:00:00+00:00,2025-07-12,14,88095.614,10348829634.7378
2025-07-12 15:00:00+00:00,2025-07-12,15,88013.868,10328436211.1868
2025-07-12 16:00:00+00:00,2025-07-12,16,87960.878,10298063772.289
2025-07-12 17:00:00+00:00,2025-07-12,17,87927.596,10301649903.9176
2025-07-12 18:00:00+00:00,2025-07-12,18,88090.807,10345593274.57974
2025-07-12 19:00:00+00:00,2025-07-12,19,88095.361,10347935105.286104
2025-07-12 20:00:00+00:00,2025-07-12,20,88101.523,10354188620.263084
2025-07-12 21:00:00+00:00,2025-07-12,21,87998.792,10294749879.2208
2025-07-12 22:00:00+00:00,2025-07-12,22,87985.573,10334562690.20705
2025-07-12 23:00:00+00:00,2025-07-12,23,88016.885,10328783508.1584
