day,Achat,Vente,difference
2025-07-04,515860817.0211141,752601872.5888032,-236741055.56768903
2025-07-05,192779617.9484814,207911768.0413714,-15132150.092889994
2025-07-06,344146795.6903991,349860206.5336323,-5713410.843233168
2025-07-07,424291001.1115546,591868893.2016104,-167577892.09005582
2025-07-08,463483392.251116,517582794.7416777,-54099402.49056172
2025-07-09,972553365.6531472,909986995.7659856,62566369.88716161
2025-07-10,1431523714.8184445,1344953523.1982436,86570191.62020087
2025-07-11,1455917246.0124512,1565250778.736448,-109333532.72399688
2025-07-12,443671715.4486715,543664803.2045835,-99993087.755912
2025-07-13,559983768.5016887,564209359.6357532,-4225591.134064436
2025-07-14,1697621523.7703533,1582740623.7882955,114880899.98205756
2025-07-15,1819563257.0782428,1888973154.0675588,-69409896.98931599
2025-07-16,986090333.3280308,1021423150.778964,-35332817.45093322
2025-07-17,909823207.0917124,945453657.1987864,-35630450.10707402
2025-07-18,1059321647.6940114,1293774467.6776893,-234452819.98367783
2025-07-19,349788262.8103828,429951896.4858252,-80163633.6754424
2025-07-20,773577082.4226477,745166192.7534099,28410889.669237852
2025-07-21,987149020.7746764,1002774314.0004992,-15625293.225822687
2025-07-22,1274870480.4239888,1189305976.652163,85564503.77182579
2025-07-23,830974628.327449,881320003.4678952,-50345375.140446186
2025-07-24,893178368.9205981,960850947.6506084,-67672578.73001027
2025-07-25,1963324137.7064283,2458257729.094297,-494933591.3878684
2025-07-26,372034423.4494575,449182761.5784731,-77148338.12901556
2025-07-27,616362327.137408,482097606.3820539,134264720.7553541
2025-07-28,850629702.29429245,787638357.9535316,62991344.34076083
2025-07-29,941222464.7108777,839053934.3539809,102168530.35689664
2025-07-30,908984793.1499044,896321633.6033859,12663159.546518326
2025-07-31,967249367.7030592,1011519236.2619376,-44269868.55887866
2025-08-01,1313402034.4668808,1478469358.640659,-165067324.1737783
2025-08-02,570238197.4554119,725472730.7785058,-155234533.3230939
2025-08-03,421053970.1030638,412826025.421358,8227944.681705832
2025-08-04,538196112.151295,563533970.4030424,-25337858.25174749
2025-08-05,637796252.6441509,724194220.2829372,-86397967.63878632
2025-08-06,557068545.6593775,556844486.3144952,224059.34488224983
2025-08-07,809498011.7689884,746633603.4864291,62864408.28255928
2025-08-08,533300563.2420278,624665534.3470789,-91364971.1050511
2025-08-09,566643731.5544943,532880076.7068171,33763654.84767717
2025-08-10,940196266.1765916,739952940.4978404,200243325.6787511
2025-08-11,1572243419.9515731,1587306138.4839709,-15062718.532397749
2025-08-12,1084749384.942453,879283232.2801356,205466152.66231728
2025-08-13,1438007023.2216284,1351356089.71992,86650933.50170851
2025-08-14,1597289982.5026548,1736148296.8963127,-138858314.39365792
2025-08-15,720204426.4974855,875056612.9613972,-154852186.46391165
2025-08-16,350710408.3398474,398017968.5924694,-47307560.25262201
2025-08-17,329093965.9075895,363335553.2989476,-34241587.39135814
2025-08-18,881101601.2906435,1159766281.6123447,-278664680.3217013
2025-08-19,979253052.5069132,1070200684.7605731,-90947632.25366008
2025-08-20,813677850.6458074,949473640.5543244,-135795789.908517
2025-08-21,602961239.9773288,618227992.7773311,-15266752.800002337
2025-08-22,1347882487.9874127,1291936622.0921094,55945865.89530325
2025-08-23,580826605.82211,717432875.6910564,-136606269.8689463
2025-08-24,1054474555.8307571,1329835927.6814537,-275361371.85069656
2025-08-25,1266705420.6494489,1514469341.1316073,-247763920.4821584
2025-08-26,1077230534.9001586,937023749.643606,140206785.25655258
2025-08-27,696269186.1381965,790044404.6359175,-93775218.49772108
2025-08-28,576612734.6882408,669671058.1549114,-93058323.46667065
2025-08-29,1159133198.744843,1301223280.0765305,-142090081.33168745
2025-08-30,623898328.9831448,530817478.6634034,93080850.31974135
2025-08-31,496696642.6849877,527429129.2373671,-30732486.55237937
2025-09-01,811079909.1238027,919049836.2463694,-107969927.1225667
2025-09-02,997647040.388344,1029006233.7473892,-31359193.359045383
2025-09-03,616508894.9562948,688480273.1731356,-71971378.21684086
2025-09-04,665350050.169399,675403906.5165153,-10053856.347116232
2025-09-05,1196195826.763889,1194373841.3885398,1821985.3753492832
2025-09-06,254502735.5164112,296476072.9207036,-41973337.404292405
2025-09-07,284686339.31664133,344619917.7614075,-59933578.44476616
2025-09-08,608880210.2003312,674354117.1244651,-65473906.9241339
2025-09-09,845566475.884605,868191991.1556563,-22625515.271051288
2025-09-10,918904578.461782,1039106427.649075,-120201849.18729316
2025-09-11,764168863.346193,784622569.9256727,-20453706.579479694
2025-09-12,916212665.545294,838443441.1290771,77769224.41621685
2025-09-13,412222471.3600019,539379764.2988437,-127157292.93884182
2025-09-14,392328835.6193854,380372372.3632362,11956463.256149232
2025-09-15,755179186.9088267,756751666.1928409,-1572479.284014225
2025-09-16,612025761.0763018,650844952.7368505,-38819191.66054869
2025-09-17,916670406.6447424,1012234028.3219514,-95563621.67720914
2025-09-18,668550914.1764448,694771694.6357529,-26220780.459308147
2025-09-19,466532572.6605306,568605538.4475358,-102072965.78700513
2025-09-20,263344403.2575961,276063246.182398,-12718842.924801916
2025-09-21,232811455.1594806,287903363.5037092,-55091908.344228595
2025-09-22,1048178520.6289338,1279973494.100673,-231794973.47173917
2025-09-23,621565246.244752,758070804.9062736,-136505558.66152155
2025-09-24,684767541.20159,700054250.6083356,-15286709.406745672
2025-09-25,1049686010.4607352,1296233775.0036216,-246547764.5428865
2025-09-26,761039480.062961,790921221.8223042,-29881741.759343263
2025-09-27,275519578.13801503,324996213.88830173,-49476635.7502867
2025-09-28,415136517.7095808,413715986.557656,1420531.151924789
2025-09-29,880412030.5305991,860793036.5143415,19618994.016257644
2025-09-30,810950126.4871241,883902941.6405907,-72952815.15346658
2025-10-01,1165539861.272438,1150870208.474507,14669652.797930956
2025-10-02,1153409485.9176822,1173444535.8176038,-20035049.899921656
