day,Achat,Vente,difference_whales
2025-07-04,4327839.800000001,0,4327839.800000001
2025-07-05,9400739.9849501,2161547.2,7239192.784950099
2025-07-06,6544950.7468562,4667695.5030000005,1877255.243856199
2025-07-07,4291797.106636399,5153886.359999999,-862089.2533636
2025-07-08,9842892.1244636,9703196.8818288,139695.24263479933
2025-07-09,27784880.9364197,25925811.5358692,1859069.4005504996
2025-07-10,16195894.12,5870255.6445595,10325638.475440498
2025-07-11,14675112.1559685,13137718.195626,1537393.9603425004
2025-07-12,1170869,4752330.7280062,-3581461.7280062
2025-07-13,15485452.7995068,4463928.077,11021524.7225068
2025-07-14,18264674.2534312,8216000.845853601,10048673.4075776
2025-07-15,9702201.0636941,15895811.3318233,-6193610.268129202
2025-07-16,9943400.1041652,3894157.2882,6049242.8159652
2025-07-17,6906885.7190000005,8634270.7869821,-1727385.0679821
2025-07-18,7765019.695206599,11302999.0975226,-3537979.4023160003
2025-07-19,2257969.389,2038417.16,219552.22900000005
2025-07-20,9481573.599033501,6253097.1204205,3228476.4786130013
